team,matches_played,total_points,total_shares,points_per_share
SCO,13,8,1,8
RSA,9,16.8,3,5.6000000000000005
PAK,9,22.6,5,4.5200000000000005
"NAM",9,9,2,4.5
NZL,10,34.4,10,3.44
AUS,10,66.8,23,2.904347826086956
OMN,5,2.7,1,2.7
LKA,14,16.1,7,2.3000000000000003
AFG,9,9.2,5,1.8399999999999999
BAN,13,5.9,5,1.1800000000000002
ENG,13,19.8,24,0.8250000000000001
IND,7,12.5,21,0.5952380952380952
IRE,7,2.5,5,0.5
WIN,6,4.2,10,0.42000000000000004
PNG,4,0.2,1,0.2
NED,4,0.2,3,0.06666666666666667
