id,display_name,code
1,Namibia,NAM
2,Sri Lanka,SRI
3,Netherlands,NED
4,United Arab Emirates,UAE
5,Scotland,SCO
6,West Indies,WIN
7,Ireland,IRE
8,Zimbabwe,ZIM
9,Afghanistan,AFG
10,Australia,AUS
11,England,ENG
12,New Zealand,NZL
13,Bangladesh,BAN
14,India,IND
15,Pakistan,PAK
16,South Africa,RSA
