share_id,participant_id,team_code,display_name,matches_played,total_points,total_shares,points_per_share
1,1,ENG,England,13,19.8,30,0.66
2,1,ENG,England,13,19.8,30,0.66
3,1,ENG,England,13,19.8,30,0.66
4,1,IND,India,7,12.5,25,0.5
5,1,IND,India,7,12.5,25,0.5
6,1,IND,India,7,12.5,25,0.5
7,1,AUS,Australia,10,66.8,32,2.0875
8,1,AUS,Australia,10,66.8,32,2.0875
9,1,NED,Netherlands,4,0.2,4,0.05
10,1,WIN,West Indies,6,4.2,11,0.38181818181818183
11,2,AUS,Australia,10,66.8,32,2.0875
12,2,AUS,Australia,10,66.8,32,2.0875
13,2,AUS,Australia,10,66.8,32,2.0875
14,2,IND,India,7,12.5,25,0.5
15,2,IND,India,7,12.5,25,0.5
16,2,ENG,England,13,19.8,30,0.66
17,2,WIN,West Indies,6,4.2,11,0.38181818181818183
18,2,WIN,West Indies,6,4.2,11,0.38181818181818183
19,2,"NAM",Namibia,9,9,3,3
20,2,RSA,South Africa,9,16.8,5,3.3600000000000003
21,3,AUS,Australia,10,66.8,32,2.0875
22,3,AUS,Australia,10,66.8,32,2.0875
23,3,AUS,Australia,10,66.8,32,2.0875
24,3,IND,India,7,12.5,25,0.5
25,3,IND,India,7,12.5,25,0.5
26,3,IND,India,7,12.5,25,0.5
27,3,ENG,England,13,19.8,30,0.66
28,3,ENG,England,13,19.8,30,0.66
29,3,IRE,Ireland,7,2.5,6,0.4166666666666667
30,3,LKA,Sri Lanka,14,16.1,10,1.61
31,4,WIN,West Indies,6,4.2,11,0.38181818181818183
32,4,WIN,West Indies,6,4.2,11,0.38181818181818183
33,4,WIN,West Indies,6,4.2,11,0.38181818181818183
34,4,AUS,Australia,10,66.8,32,2.0875
35,4,AUS,Australia,10,66.8,32,2.0875
36,4,IND,India,7,12.5,25,0.5
37,4,RSA,South Africa,9,16.8,5,3.3600000000000003
38,4,AFG,Afghanistan,9,9.2,7,1.3142857142857143
39,4,SCO,Scotland,13,8,1,8
40,4,PAK,Pakistan,9,22.6,9,2.511111111111111
41,5,PAK,Pakistan,9,22.6,9,2.511111111111111
42,5,PAK,Pakistan,9,22.6,9,2.511111111111111
43,5,PAK,Pakistan,9,22.6,9,2.511111111111111
44,5,AUS,Australia,10,66.8,32,2.0875
45,5,AUS,Australia,10,66.8,32,2.0875
46,5,ENG,England,13,19.8,30,0.66
47,5,ENG,England,13,19.8,30,0.66
48,5,IRE,Ireland,7,2.5,6,0.4166666666666667
49,5,PNG,Papua New Guinea,4,0.2,1,0.2
50,5,NZL,New Zealand,10,34.4,18,1.911111111111111
51,6,WIN,West Indies,6,4.2,11,0.38181818181818183
52,6,WIN,West Indies,6,4.2,11,0.38181818181818183
53,6,RSA,South Africa,9,16.8,5,3.3600000000000003
