share_id,participant_id,team_code,display_name,matches_played,total_points,total_shares,points_per_share
54,6,AFG,Afghanistan,9,9.2,7,1.3142857142857143
55,6,AFG,Afghanistan,9,9.2,7,1.3142857142857143
56,6,BAN,Bangladesh,13,5.9,6,0.9833333333333334
57,6,BAN,Bangladesh,13,5.9,6,0.9833333333333334
58,6,NZL,New Zealand,10,34.4,18,1.911111111111111
59,6,NZL,New Zealand,10,34.4,18,1.911111111111111
60,6,ENG,England,13,19.8,30,0.66
61,7,LKA,Sri Lanka,14,16.1,10,1.61
62,7,LKA,Sri Lanka,14,16.1,10,1.61
63,7,LKA,Sri Lanka,14,16.1,10,1.61
64,7,IND,India,7,12.5,25,0.5
65,7,IND,India,7,12.5,25,0.5
66,7,IND,India,7,12.5,25,0.5
67,7,ENG,England,13,19.8,30,0.66
68,7,ENG,England,13,19.8,30,0.66
69,7,ENG,England,13,19.8,30,0.66
70,7,NZL,New Zealand,10,34.4,18,1.911111111111111
71,8,NZL,New Zealand,10,34.4,18,1.911111111111111
72,8,NZL,New Zealand,10,34.4,18,1.911111111111111
73,8,NZL,New Zealand,10,34.4,18,1.911111111111111
74,8,IND,India,7,12.5,25,0.5
75,8,IND,India,7,12.5,25,0.5
76,8,ENG,England,13,19.8,30,0.66
77,8,WIN,West Indies,6,4.2,11,0.38181818181818183
78,8,LKA,Sri Lanka,14,16.1,10,1.61
79,8,IRE,Ireland,7,2.5,6,0.4166666666666667
80,8,AUS,Australia,10,66.8,32,2.0875
81,9,IND,India,7,12.5,25,0.5
82,9,IND,India,7,12.5,25,0.5
83,9,NZL,New Zealand,10,34.4,18,1.911111111111111
84,9,NZL,New Zealand,10,34.4,18,1.911111111111111
85,9,AUS,Australia,10,66.8,32,2.0875
86,9,AUS,Australia,10,66.8,32,2.0875
87,9,ENG,England,13,19.8,30,0.66
88,9,ENG,England,13,19.8,30,0.66
89,9,OMN,Oman,5,2.7,2,1.35
90,9,"NAM",Namibia,9,9,3,3
91,10,BAN,Bangladesh,13,5.9,6,0.9833333333333334
92,10,BAN,Bangladesh,13,5.9,6,0.9833333333333334
93,10,PAK,Pakistan,9,22.6,9,2.511111111111111
94,10,PAK,Pakistan,9,22.6,9,2.511111111111111
95,10,ENG,England,13,19.8,30,0.66
96,10,AUS,Australia,10,66.8,32,2.0875
97,10,AUS,Australia,10,66.8,32,2.0875
98,10,WIN,West Indies,6,4.2,11,0.38181818181818183
99,10,AFG,Afghanistan,9,9.2,7,1.3142857142857143
100,10,"NAM",Namibia,9,9,3,3
101,11,IND,India,7,12.5,25,0.5
102,11,IND,India,7,12.5,25,0.5
103,11,AUS,Australia,10,66.8,32,2.0875
104,11,AUS,Australia,10,66.8,32,2.0875
105,11,NZL,New Zealand,10,34.4,18,1.911111111111111
106,11,ENG,England,13,19.8,30,0.66
107,11,WIN,West Indies,6,4.2,11,0.38181818181818183
108,11,NED,Netherlands,4,0.2,4,0.05
109,11,IRE,Ireland,7,2.5,6,0.4166666666666667
110,11,OMN,Oman,5,2.7,2,1.35
111,12,LKA,Sri Lanka,14,16.1,10,1.61
112,12,LKA,Sri Lanka,14,16.1,10,1.61
113,12,IND,India,7,12.5,25,0.5
114,12,IND,India,7,12.5,25,0.5
115,12,AUS,Australia,10,66.8,32,2.0875
116,12,ENG,England,13,19.8,30,0.66
117,12,ENG,England,13,19.8,30,0.66
118,12,NZL,New Zealand,10,34.4,18,1.911111111111111
119,12,NZL,New Zealand,10,34.4,18,1.911111111111111
120,12,AFG,Afghanistan,9,9.2,7,1.3142857142857143
121,13,ENG,England,13,19.8,30,0.66
122,13,ENG,England,13,19.8,30,0.66
123,13,ENG,England,13,19.8,30,0.66
124,13,AUS,Australia,10,66.8,32,2.0875
125,13,AUS,Australia,10,66.8,32,2.0875
126,13,IND,India,7,12.5,25,0.5
127,13,LKA,Sri Lanka,14,16.1,10,1.61
128,13,IRE,Ireland,7,2.5,6,0.4166666666666667
129,13,BAN,Bangladesh,13,5.9,6,0.9833333333333334
130,13,RSA,South Africa,9,16.8,5,3.3600000000000003
131,14,AUS,Australia,10,66.8,32,2.0875
132,14,AUS,Australia,10,66.8,32,2.0875
133,14,AUS,Australia,10,66.8,32,2.0875
134,14,ENG,England,13,19.8,30,0.66
135,14,ENG,England,13,19.8,30,0.66
136,14,ENG,England,13,19.8,30,0.66
137,14,RSA,South Africa,9,16.8,5,3.3600000000000003
138,14,AFG,Afghanistan,9,9.2,7,1.3142857142857143
139,14,NED,Netherlands,4,0.2,4,0.05
140,14,NZL,New Zealand,10,34.4,18,1.911111111111111
141,15,AUS,Australia,10,66.8,32,2.0875
142,15,AUS,Australia,10,66.8,32,2.0875
143,15,AUS,Australia,10,66.8,32,2.0875
144,15,ENG,England,13,19.8,30,0.66
145,15,ENG,England,13,19.8,30,0.66
146,15,ENG,England,13,19.8,30,0.66
147,15,NZL,New Zealand,10,34.4,18,1.911111111111111
148,15,NZL,New Zealand,10,34.4,18,1.911111111111111
149,15,IND,India,7,12.5,25,0.5
150,15,BAN,Bangladesh,13,5.9,6,0.9833333333333334
151,16,PAK,Pakistan,9,22.6,9,2.511111111111111
152,16,PAK,Pakistan,9,22.6,9,2.511111111111111
153,16,PAK,Pakistan,9,22.6,9,2.511111111111111
154,16,ENG,England,13,19.8,30,0.66
155,16,ENG,England,13,19.8,30,0.66
156,16,AUS,Australia,10,66.8,32,2.0875
157,16,AUS,Australia,10,66.8,32,2.0875
158,16,NZL,New Zealand,10,34.4,18,1.911111111111111
159,16,LKA,Sri Lanka,14,16.1,10,1.61
160,16,IRE,Ireland,7,2.5,6,0.4166666666666667
161,17,IND,India,7,12.5,25,0.5
162,17,IND,India,7,12.5,25,0.5
163,17,IND,India,7,12.5,25,0.5
164,17,AUS,Australia,10,66.8,32,2.0875
165,17,AUS,Australia,10,66.8,32,2.0875
166,17,NZL,New Zealand,10,34.4,18,1.911111111111111
167,17,NZL,New Zealand,10,34.4,18,1.911111111111111
168,17,LKA,Sri Lanka,14,16.1,10,1.61
169,17,AFG,Afghanistan,9,9.2,7,1.3142857142857143
170,17,NED,Netherlands,4,0.2,4,0.05
