stage,group,team,matches,wins,losses,ties,nr,points,runs_scored,overs_faced,overs_faced_eff,runs_against,overs_bowled,overs_bowled_eff,nrr
first_round,A,LKA,3,3,0,0,0,6,316,40.4,40.4,241,48.0,60.0,3.753825136612022
first_round,A,"NAM",3,2,1,0,0,4,388,57.0,57.3,389,53.3,53.3,-0.5232019504266558
first_round,A,IRE,3,1,2,0,0,2,333,53.4,55.1,403,58.3,58.3,-0.8526351124538438
first_round,A,NED,3,0,3,0,0,0,314,50.0,60.0,318,41.2,41.2,-2.4602150537634406
first_round,B,SCO,3,3,0,0,0,6,428,57.0,57.0,404,59.3,60.0,0.7754385964912283
first_round,B,BAN,3,2,1,0,0,4,468,60.0,60.0,364,59.3,60.0,1.7333333333333334
first_round,B,OMN,3,1,2,0,0,2,380,53.4,53.4,405,57.0,57.0,-0.02451781627982985
first_round,B,PNG,3,0,3,0,0,0,374,59.0,60.0,477,53.4,53.4,-2.6548654244306418
super_12,1,ENG,5,4,1,0,0,8,650,74.1,74.1,630,93.2,100.0,2.464044943820224
super_12,1,AUS,5,4,1,0,0,8,640,79.2,79.2,628,86.4,91.4,1.2163177998472117
super_12,1,RSA,5,4,1,0,0,8,683,91.4,91.4,669,98.0,99.4,0.7385345089692912
super_12,1,LKA,5,2,3,0,0,4,794,97.5,98.5,804,96.5,96.5,-0.2691991768567892
super_12,1,WIN,5,1,4,0,0,2,666,94.2,100.0,689,83.0,83.0,-1.6412048192771085
super_12,1,BAN,5,0,5,0,0,0,591,93.2,100.0,604,72.5,72.5,-2.382906178489703
super_12,2,PAK,5,5,0,0,0,10,813,95.3,95.3,693,100.0,100.0,1.5830890052356033
super_12,2,NZL,5,4,1,0,0,8,705,92.4,92.4,636,98.4,98.4,1.161967723118802
super_12,2,IND,5,3,2,0,0,6,696,81.5,81.5,624,90.0,92.2,1.7469689060121905
super_12,2,AFG,5,2,3,0,0,4,765,100.0,100.0,641,87.3,97.1,1.0530874785591777
super_12,2,"NAM",5,1,4,0,0,2,600,99.1,99.1,757,95.2,95.2,-1.8901392724922141
super_12,2,SCO,5,0,5,0,0,0,527,88.0,100.0,755,85.4,85.4,-3.543229571984435
